id,primary_type,community_area,year,latitude,longitude
23265,HOMICIDE,49,2017,41.718864262,-87.628596003
24000,HOMICIDE,42,2018,41.780288003,-87.612785352
24056,HOMICIDE,67,2018,41.790486472,-87.657606178
21740,HOMICIDE,71,2014,41.736982421,-87.669170102
23619,HOMICIDE,25,2017,41.899094348,-87.760788097
23451,HOMICIDE,26,2017,41.879634247,-87.736406709
20804,HOMICIDE,31,2013,41.852029655,-87.686219922
23045,HOMICIDE,43,2016,41.751857803,-87.556867599
21504,HOMICIDE,67,2014,41.786178724,-87.661952483
23225,HOMICIDE,67,2017,41.791835611,-87.656029847
21687,HOMICIDE,27,2014,41.875477847,-87.708756115
21292,HOMICIDE,61,2014,41.795211551,-87.662188272
21194,HOMICIDE,43,2013,41.772825015,-87.583849157
22068,HOMICIDE,3,2015,41.973923557,-87.657752098
21993,HOMICIDE,29,2015,41.865108577,-87.73370765
20836,HOMICIDE,68,2013,41.787290341,-87.629431152
22562,HOMICIDE,58,2016,41.814483142,-87.703604442
21699,HOMICIDE,44,2014,41.751148783,-87.613177291
22406,HOMICIDE,71,2016,41.733141,-87.667854106
22686,HOMICIDE,49,2016,41.722674743,-87.627477413
22178,HOMICIDE,26,2015,41.879634247,-87.736406709
24023,HOMICIDE,53,2018,41.676878082,-87.620474006
23106,HOMICIDE,20,2017,41.926840967,-87.735415625
21010,HOMICIDE,35,2013,41.829184608,-87.623211774
21807,HOMICIDE,40,2015,41.788410913,-87.615825885
22940,HOMICIDE,65,2016,41.76936555,-87.720072646
23683,HOMICIDE,53,2017,41.680734959,-87.61932224
21568,HOMICIDE,23,2014,41.889868096,-87.725007009
22682,HOMICIDE,44,2016,41.72805635,-87.60461742
20768,HOMICIDE,30,2013,41.84355397,-87.718432537
21164,HOMICIDE,30,2013,41.837851998,-87.726806285
21628,HOMICIDE,46,2014,41.751317167,-87.563800456
22198,HOMICIDE,68,2015,41.786966991,-87.649040897
23215,HOMICIDE,46,2017,41.736596762,-87.559718766
20795,HOMICIDE,39,2013,41.814162991,-87.595428829
21785,HOMICIDE,22,2015,41.921545627,-87.669188669
23852,HOMICIDE,14,2018,41.967090006,-87.732185987
21478,HOMICIDE,20,2014,41.932194873,-87.738041085
21413,HOMICIDE,51,2014,41.719644819,-87.567863355
21035,HOMICIDE,67,2013,41.780835284,-87.664252074
20880,HOMICIDE,25,2013,41.884654292,-87.771937787
20924,HOMICIDE,25,2013,41.877467764,-87.762607847
22606,HOMICIDE,49,2016,41.690567503,-87.621025854
21824,HOMICIDE,19,2015,41.930801083,-87.751478832
21721,HOMICIDE,26,2015,41.880298941,-87.735464135
22316,HOMICIDE,63,2016,41.789518444,-87.693680468
23580,HOMICIDE,58,2017,41.807857248,-87.692962549
23393,HOMICIDE,61,2017,41.79539384,-87.660979844
22169,HOMICIDE,44,2015,41.750658572,-87.600319681
22072,HOMICIDE,27,2015,41.885342324,-87.710070246
21312,HOMICIDE,43,2014,41.752940239,-87.578458689
22813,HOMICIDE,1,2016,42.021147909,-87.669915975
23022,HOMICIDE,58,2016,41.815093834,-87.689511893
22219,HOMICIDE,68,2015,41.762801362,-87.652842156
21814,HOMICIDE,75,2015,41.68814117,-87.643462515
26498,HOMICIDE,27,2014,41.873706714,-87.715657849
21889,HOMICIDE,36,2015,41.826375628,-87.611945922
21542,HOMICIDE,64,2014,41.779714092,-87.739889736
22852,HOMICIDE,30,2016,41.850130656,-87.691605154
22898,HOMICIDE,51,2016,41.700104464,-87.560771495
