school_id,school_nm,grades,sch_type,x,y,year
609792,BATEMAN,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7021142077,41.9582204771,2013
609793,NICHOLSON TECH ACAD,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6474162115,41.7849435756,2013
609794,"EDISON, T","K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7097007454,41.9711409287,2013
609795,"CLARK, G","PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7704542243,41.8678117615,2013
609796,BEAUBIEN,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7576018013,41.9723932569,2013
609797,BEIDLER,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7058553747,41.8853484788,2013
609798,BELDING,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7340564892,41.9589380489,2013
609799,BELL,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6859814932,41.9495303971,2013
609800,BENNETT,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6174270739,41.7104344977,2013
609803,BLAINE,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6649670804,41.9507530831,2013
609804,BOONE,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6974260357,42.0034120329,2013
609805,JOPLIN,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.66940229,41.7493387506,2013
609806,BRADWELL,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5571053284,41.7543655977,2013
609807,HAMPTON,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.7087305665,41.7534297568,2013
